Male	Female
1.7348	1.6076
1.784	1.655
1.792	1.681
1.718	1.654
1.651	1.542
1.786	1.681
1.6	1.422
1.707	1.588
1.752	1.644
1.706	1.613
1.76	1.633
1.71	1.591
1.663	1.57
1.706	1.587
1.701	1.591
1.805	1.663
1.68	1.56
1.8031	1.65
1.826	1.687
1.856	1.692
1.703	1.589
1.77	1.63
1.77	1.651
1.68	1.578
1.81	1.68
1.695	1.585
1.783	1.666
1.717	1.587
1.76	1.64
1.647	1.519
1.58	1.47
1.734	1.598
1.654	1.558
1.775	1.645
1.77	1.66
1.772	1.678
1.718	1.608
1.707	1.58
1.656	1.549
1.7374	1.6111
1.813	1.66
1.66	1.55
1.647	1.533
1.713	1.604
1.752	1.638
1.63	1.51
1.684	1.577
1.808	1.675
1.77	1.65
1.638	1.578
1.824	1.67
1.64	1.51
1.634	1.517
1.785	1.671
1.737	1.637
1.706	1.6
1.794	1.656
1.69	1.59
1.78	1.662
1.636	1.514
1.779	1.651
1.754	1.64
1.703	1.59
1.74	1.589
1.734	1.564
1.776	1.647
1.782	1.644
1.77	1.64
1.78	1.632
1.7	1.58
1.657	1.552
