y	x1	x2	x3	x4	x5	x6	x7	x8
93.113	27.524	11.485	9.483	16.006	30.728	21.293	20.687	21.080
78.018	5.842	37.379	12.338	1.638	40.918	17.393	21.587	10.251
99.319	23.242	22.000	6.163	16.913	19.815	20.199	16.898	14.176
60.772	4.600	22.301	15.365	5.940	17.811	20.510	17.890	17.914
102.139	13.100	36.829	0.992	8.905	13.412	24.225	18.130	12.293
108.088	16.632	37.596	3.821	7.143	19.533	21.080	13.671	17.038
109.209	27.065	22.347	13.253	9.688	31.680	23.742	12.574	13.157
104.702	27.360	30.899	3.070	4.223	15.666	22.212	12.413	12.439
93.815	16.760	24.009	4.647	3.254	32.120	16.740	15.713	14.419
58.202	4.465	21.204	17.650	5.936	10.935	18.149	15.106	19.895
89.232	8.052	36.338	12.634	23.005	9.464	18.225	19.472	14.483
102.366	29.118	24.576	2.452	12.568	15.597	18.030	19.466	12.564
47.023	2.050	32.258	8.307	3.847	7.994	24.389	21.325	15.637
89.224	13.383	21.531	0.847	20.394	16.489	23.442	20.134	20.051
111.905	21.912	21.752	17.078	1.170	13.733	21.208	15.287	11.143
112.955	25.652	20.069	20.761	3.254	14.929	15.741	18.053	11.568
123.414	19.377	34.713	19.318	20.847	12.346	23.552	16.567	18.159
116.854	27.620	29.454	12.510	13.654	23.028	24.429	16.352	13.341
101.479	13.804	24.959	9.740	13.953	10.940	12.998	18.628	18.745
109.077	19.857	23.979	18.221	7.021	32.770	19.389	16.660	17.736
98.784	9.669	32.137	20.527	9.472	14.268	18.635	16.974	19.602
126.478	26.062	31.926	20.498	5.052	37.831	25.802	21.559	14.732
101.649	19.425	20.492	11.775	11.313	12.206	20.610	21.246	17.039
103.238	23.936	22.120	7.943	19.718	26.866	20.532	15.481	18.453
77.916	9.211	28.843	0.822	5.029	17.618	20.044	12.131	20.770
101.737	10.438	33.789	2.894	0.170	17.963	19.820	11.306	16.025
108.619	25.104	33.868	2.477	5.961	42.300	19.469	10.338	19.738
105.893	13.687	38.731	0.778	11.110	11.041	17.650	10.117	16.797
133.051	32.010	38.933	20.452	3.564	18.239	23.337	14.432	14.585
135.438	30.184	40.911	19.193	21.604	62.238	15.991	21.812	23.301
123.716	32.811	32.011	13.441	6.822	12.401	20.328	19.728	10.999
