Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather,log(Price),Buick,Cadillac,Chevrolet,Pontiac,SAAB,Saturn,Convertible,Coupe,Hatchback,Sedan,Wagon,Buick Century,Buick Lacrosse,Buick LeSabre,Buick Park Avenue,Cadillac CST-V,Cadillac CTS,Cadillac Deville,Cadillac STS-V6,Cadillac STS-V8,Cadillac XLR-V8,Chevrolet AVEO,Chevrolet Cavalier,Chevrolet Classic,Chevrolet Cobalt,Chevrolet Corvette,Chevrolet Impala,Chevrolet Malibu,Chevrolet Monte Carlo,Pontiac Bonneville,Pontiac G6,Pontiac Grand Am,Pontiac Grand Prix,Pontiac GTO,Pontiac Sunfire,Pontiac Vibe,SAAB 9_3,SAAB 9_3 HO,SAAB 9_5,SAAB 9_5 HO,SAAB 9-2X AWD,Saturn Ion,Saturn L Series,Train/Test
17542.03608,9135,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,4.24408,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16336.91314,16342,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0,4.21317,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15709.05282,22236,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,4.19615,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15048.04218,22964,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,4.17748,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15295.01827,27325,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1,4.18455,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20538.08751,15066,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,4.31256,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19924.15905,19800,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,4.29938,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19344.16554,23765,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,4.28655,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18543.42705,26034,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,4.26819,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17968.83828,34665,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,4.25452,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23785.92253,10577,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1,4.37632,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21895.75878,16508,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1,4.34036,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21460.01395,19467,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1,4.33163,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20406.0995,22596,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0,4.30976,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19556.89932,25245,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0,4.2913,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23547.23944,16235,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0,4.37194,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22230.0275,22102,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1,4.34694,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21799.1721,24439,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0,4.33844,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21683.03146,26779,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0,4.33612,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20902.10379,29649,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1,4.32019,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20099.25684,10036,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1,4.30318,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17944.85692,19592,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,0,4.25394,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18348.89857,23852,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0,4.26361,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17772.96968,25052,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0,4.24976,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17645.74504,27830,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1,4.24664,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21956.34266,17787,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0,4.34156,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21575.45683,20137,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0,4.33396,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21562.04758,23767,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,0,1,4.33369,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19425.84862,27839,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0,4.28838,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19641.7419,31324,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1,4.29318,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25098.62906,10014,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0,4.39965,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22661.04849,20105,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,0,4.35528,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22435.20282,22287,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,1,4.35093,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23077.56591,23798,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,1,4.36319,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
