"id","downpmt","pmttype","use","age","gender","default"
"1",50,1,0,28,"Male",1
"2",50,1,0,22,"Female",1
"3",50,1,0,28,"Female",1
"4",50,5,0,28,"Female",1
"5",37,1,0,29,"Female",1
"6",5,1,0,32,"Male",1
"7",25,4,0,21,"Female",1
"8",46,1,0,25,"Male",1
"9",25,1,0,29,"Female",1
"10",35,1,0,25,"Male",1
"11",5,1,0,22,"Male",1
"12",50,1,0,29,"Female",1
"14",40,1,0,23,"Male",1
"15",100,1,0,0,"Female",1
"16",70,1,0,0,"Female",1
"17",35,1,0,27,"Female",1
"18",75,1,0,24,"Male",1
"19",88,1,0,32,"Female",1
"20",50,1,0,0,"Male",1
"21",100,1,0,0,"Male",1
"22",35,1,0,33,"Male",1
"23",25,1,0,34,"Male",1
"24",150,1,0,31,"Male",1
"25",5,1,0,30,"Male",1
"26",40,1,0,44,"Female",1
"27",50,1,0,25,"Male",1
"28",1,4,0,24,"Male",1
"30",19,1,0,23,"Male",1
"31",1,1,0,29,"Female",1
"32",50,5,0,0,"Female",1
"33",30,1,0,22,"Male",1
"34",30,1,0,52,"Female",1
"35",75,1,0,28,"Male",1
"36",150,1,0,42,"Female",1
"37",25,1,0,47,"Male",1
"38",5,1,0,29,"Male",1
"39",100,1,0,20,"Male",1
"40",75,1,0,26,"Male",1
"41",10,1,0,25,"Female",1
"42",25,1,0,21,"Male",1
"43",100,1,0,39,"Female",1
"44",100,1,0,24,"Male",1
"45",100,1,0,26,"Male",1
"46",50,1,0,22,"Male",1
"47",75,1,0,24,"Male",1
"48",40,1,0,38,"Female",1
"49",55,1,0,42,"Female",1
"50",26,1,0,32,"Male",1
"51",36,1,0,18,"Male",1
"52",50,3,0,31,"Female",1
"53",75,1,0,21,"Male",1
"54",100,1,0,21,"Male",1
"55",25,3,0,27,"Male",1
"56",25,3,0,21,"Female",1
"57",25,3,1,19,"Male",1
"58",25,3,1,28,"Male",1
"59",75,3,0,47,"Male",1
"60",150,3,0,19,"Male",1
"61",55,3,0,37,"Female",1
"62",5,1,0,28,"Female",1
"63",55,5,0,38,"Male",1
"64",50,5,0,28,"Female",1
"66",50,4,0,23,"Male",1
"67",25,4,0,24,"Male",1
"68",32,1,0,24,"Male",1
"69",60,5,0,31,"Male",1
"70",35,1,0,31,"Male",1
"71",19,1,0,22,"Male",1
"72",50,1,0,24,"Female",1
"73",100,1,0,40,"Male",1
"74",100,1,0,22,"Male",1
"75",44,1,0,0,"Female",1
"76",150,3,0,26,"Male",1
"77",19,3,0,33,"Female",1
"78",19,3,0,20,"Male",1
"79",38,3,0,0,"Female",1
"80",19,3,0,28,"Male",1
"81",100,1,0,32,"Female",1
"82",1,1,1,20,"Female",1
"83",100,1,0,23,"Male",1
"84",71,1,0,24,"Female",1
"85",71,1,0,21,"Male",1
"86",20,1,1,20,"Female",1
"87",25,1,NA,21,"Female",1
"88",50,3,1,37,"Female",1
"89",10,1,1,23,"Male",1
"90",30,1,1,3,"Male",1
"91",175,1,0,32,"Female",1
"92",100,1,0,16,"Male",1
"93",75,1,0,37,"Female",1
"94",3,1,1,22,"Male",1
"95",25,1,0,22,"Male",1
"96",150,1,3,26,"Male",1
"97",50,1,0,30,"Female",1
"98",35,1,NA,32,"Male",1
"99",25,1,1,25,"Male",1
"100",150,1,0,23,"Female",1
"101",38,1,0,3,"Female",1
"102",39,5,3,38,"Female",1
"103",50,1,0,26,"Male",1
"104",50,1,1,45,"Female",1
"106",38,5,0,33,"Male",1
"107",200,4,0,28,"Female",1
"108",50,1,0,29,"Male",1
"109",125,1,0,46,"Male",1
"110",24,1,1,22,"Female",1
"111",30,3,1,38,"Female",1
"112",0,1,0,24,"Male",1
"113",5,1,0,20,"Male",1
"114",300,1,0,52,"Female",1
"115",100,1,1,3,"Female",1
"116",25,3,1,20,"Female",1
"117",210,1,0,23,"Female",1
"118",150,1,0,26,"Female",1
"119",50,1,0,25,"Female",1
"121",50,3,0,2,"Male",1
"123",19,1,1,24,"Male",1
"124",35,1,3,29,"Female",1
"125",51,4,1,37,"Female",1
