Date,Open,High,Low,Close,Volume,Adj Close
2014-08-01,190.50,194.13,183.58,192.30,2683300,192.30
2014-07-01,181.70,196.40,181.70,191.67,4627500,190.54
2014-06-02,184.76,187.65,179.27,181.27,3939300,180.20
2014-05-01,196.31,196.74,182.33,184.36,3554200,183.28
2014-04-01,193.12,199.21,187.01,196.47,5840600,194.18
2014-03-03,183.33,195.63,182.21,192.49,6072400,190.25
2014-02-03,176.02,186.12,172.19,185.17,4827500,183.02
2014-01-02,187.21,190.81,175.34,176.68,6127700,173.67
2013-12-02,179.46,187.79,172.73,187.57,4838700,184.38
2013-11-01,179.81,186.24,177.31,179.68,5192700,176.62
2013-10-01,185.34,186.99,172.57,179.21,5881900,175.22
2013-09-03,183.63,194.89,182.31,185.18,3773300,181.06
2013-08-01,196.65,197.17,181.10,182.27,3445800,178.21
2013-07-01,192.15,200.94,190.26,195.04,4176700,189.75
2013-06-03,208.25,210.05,188.41,191.11,4513500,185.92
2013-05-01,201.87,211.98,199.20,208.02,4346900,202.38
2013-04-01,212.80,214.89,187.68,202.54,5282100,196.12
2013-03-01,200.65,215.90,199.36,213.30,3988600,206.54
2013-02-01,204.65,205.35,197.51,200.83,3622800,194.47
2013-01-02,194.09,208.58,190.39,203.07,4320300,195.81
2012-12-03,190.76,196.45,186.94,191.55,4200200,184.71
2012-11-01,194.68,198.00,184.78,190.07,4134700,183.28
2012-10-01,208.01,211.79,190.56,194.53,4867000,186.76
2012-09-04,196.61,208.32,193.25,207.45,4329000,199.17
2012-08-01,196.96,202.00,193.02,194.85,2775900,187.07
2012-07-02,196.36,197.84,181.85,195.98,4524900,187.35
2012-06-01,190.12,199.99,187.00,195.58,4277000,186.97
2012-05-01,207.18,208.93,192.00,192.90,4331400,184.41
2012-04-02,208.96,210.69,196.79,207.08,4468800,197.14
2012-03-01,197.23,209.12,196.81,208.65,4150500,198.63
2012-02-01,193.21,199.23,190.83,196.73,4196300,187.29
2012-01-03,186.73,193.10,177.35,192.60,5742000,182.64
2011-12-01,187.01,194.90,179.04,183.88,5093600,174.37
2011-11-01,181.55,189.97,177.06,188.00,4992900,178.28
2011-10-03,174.36,190.53,168.88,184.63,7108200,174.38
2011-09-01,172.71,180.91,158.76,174.87,6938200,165.17
2011-08-01,182.60,183.69,157.13,171.91,8744700,162.37
2011-07-01,171.61,185.63,171.49,181.85,6012900,171.01
2011-06-01,168.90,172.45,161.52,171.55,5024800,161.33
2011-05-02,172.11,173.54,165.90,168.93,5710800,158.86
2011-04-01,163.70,173.00,162.19,170.58,5317800,159.70
2011-03-01,163.15,167.72,151.71,163.07,5807600,152.67
2011-02-01,162.11,166.25,159.03,161.88,4938900,151.56
2011-01-03,147.21,164.35,146.64,162.00,6301400,151.07
2010-12-01,143.61,147.50,143.51,146.76,4380100,136.86
2010-11-01,143.64,147.53,141.18,141.46,5322400,131.92
2010-10-01,135.51,144.00,134.39,143.60,6939200,133.32
2010-09-01,125.31,136.11,124.52,134.14,5834200,124.54
2010-08-02,129.25,132.49,122.28,123.13,5591700,114.31
2010-07-01,123.55,131.60,120.61,128.40,7147600,118.62
2010-06-01,124.69,131.94,122.82,123.48,7728900,114.07
2010-05-03,129.39,133.10,116.00,125.26,9793300,115.72
2010-04-01,128.95,132.28,127.12,129.00,7271100,118.57
2010-03-01,127.50,130.73,125.20,128.25,6300000,117.88
2010-02-01,123.23,128.27,121.61,127.16,6210200,116.87
2010-01-04,131.18,134.25,121.90,122.39,8825300,111.99
2009-12-01,127.29,132.85,126.00,130.90,5849900,119.78
2009-11-02,120.77,128.94,119.50,126.35,5852500,115.61
2009-10-01,119.39,128.61,117.26,120.61,8692800,109.87
2009-09-01,117.67,122.88,115.15,119.61,6631200,108.96
2009-08-03,118.88,120.88,116.12,118.05,5615200,107.54
2009-07-01,105.00,119.37,99.50,117.93,8250000,106.93
2009-06-01,106.94,110.64,103.51,104.42,7637000,94.68
2009-05-01,103.78,106.82,99.83,106.28,7997800,96.36
2009-04-01,96.13,106.05,95.70,103.21,10679800,93.09
2009-03-02,91.17,99.86,83.02,96.89,13666700,87.39
2009-02-02,90.60,97.10,82.85,92.03,12859400,83.01
2009-01-02,83.89,94.94,81.76,91.65,10928800,82.22
2008-12-01,80.95,87.27,75.31,84.16,8886900,75.50
2008-11-03,92.64,94.76,69.50,81.60,11695800,73.20
2008-10-01,115.51,116.80,78.82,92.97,14151200,82.94
2008-09-02,122.87,124.00,109.95,116.96,11304900,104.34
2008-08-01,128.52,129.97,121.50,121.73,6865900,108.60
2008-07-01,117.50,130.93,116.60,127.98,9396900,113.73
2008-06-02,128.49,129.37,118.15,118.53,7655500,105.33
2008-05-01,121.06,129.99,120.78,129.43,8008100,115.02
2008-04-01,115.20,125.00,113.86,120.70,9100700,106.83
2008-03-03,113.86,119.79,111.80,115.14,9449500,101.90
2008-02-01,107.16,116.63,100.60,113.86,8837700,100.77
2008-01-02,108.99,108.99,97.04,107.11,12218000,94.44
2007-12-03,105.55,112.19,104.00,108.10,6994100,95.31
2007-11-01,115.50,116.09,99.27,105.18,10181900,92.73
2007-10-01,117.61,121.46,110.96,116.12,7777600,102.02
2007-09-04,116.34,118.89,114.30,117.80,7366000,103.49
2007-08-01,110.39,117.35,103.70,116.69,9119700,102.52
2007-07-02,105.39,118.82,104.58,110.65,10979700,96.87
2007-06-01,106.62,107.24,101.56,105.25,8410400,92.14
2007-05-01,102.06,108.05,101.35,106.60,6888100,93.32
2007-04-02,94.51,103.00,93.91,102.21,8842800,89.13
2007-03-01,90.25,95.81,88.77,94.26,7765100,82.20
2007-02-01,98.97,100.44,92.47,92.94,7261400,81.05
2007-01-03,97.18,100.90,94.55,99.15,9956700,86.21
2006-12-01,91.90,97.88,90.55,97.15,5446300,84.47
2006-11-01,92.50,94.05,90.43,91.92,5280900,79.92
2006-10-02,81.76,92.68,81.56,92.33,8165200,80.02
2006-09-01,81.13,83.79,79.31,81.94,5377300,71.01
2006-08-01,76.65,81.68,75.05,80.97,4550700,70.17
2006-07-03,77.54,78.53,72.73,77.41,7128500,66.82
2006-06-01,79.89,80.87,76.06,76.82,6698600,66.31
2006-05-01,82.59,83.69,79.06,79.90,5433200,68.97
2006-04-03,82.72,84.45,80.63,82.34,6432000,70.82
2006-03-01,80.20,84.99,79.51,82.47,5103300,70.93
2006-02-01,80.90,82.24,78.93,80.24,6158500,69.01
2006-01-03,82.45,85.03,80.21,81.30,7663100,69.75
2005-12-01,89.15,89.92,81.56,82.20,5976200,70.52
2005-11-01,81.85,89.94,80.64,88.90,5556400,76.27
2005-10-03,80.22,84.60,78.70,81.88,7019600,70.08
2005-09-01,80.16,82.11,76.93,80.22,5772200,68.66
2005-08-01,83.00,84.20,79.87,80.62,4801300,69.00
2005-07-01,74.30,85.11,74.16,83.46,8056500,71.26
2005-06-01,75.57,77.73,73.45,74.20,6439500,63.35
2005-05-02,76.88,78.11,72.50,75.55,6896900,64.51
2005-04-01,91.49,91.76,71.85,76.38,10709200,65.04
2005-03-01,92.64,93.73,89.09,91.38,5025600,77.82
2005-02-01,93.67,94.97,91.55,92.58,4455600,78.84
2005-01-03,98.97,99.10,91.44,93.42,5960900,79.40
2004-12-01,94.50,99.00,94.47,98.58,5043800,83.79
2004-11-01,89.33,96.63,89.23,94.24,5754800,80.10
2004-10-01,85.95,90.27,84.29,89.75,5839700,76.14
2004-09-01,84.05,87.28,83.24,85.74,4719200,72.73
