Date,Open,High,Low,Close,Volume,Adj Close
2014-08-01,1929.80,2005.04,1904.78,2003.37,2875718500,2003.37
2014-07-01,1962.29,1991.39,1930.67,1930.67,3214440400,1930.67
2014-06-02,1923.87,1968.17,1915.98,1960.23,3158130000,1960.23
2014-05-01,1884.39,1924.03,1859.79,1923.57,3185100900,1923.57
2014-04-01,1873.96,1897.28,1814.36,1883.95,3589287600,1883.95
2014-03-03,1857.68,1883.97,1834.44,1872.34,3579015700,1872.34
2014-02-03,1782.68,1867.92,1737.92,1859.45,3875949400,1859.45
2014-01-02,1845.86,1850.84,1770.45,1782.59,3806266600,1782.59
2013-12-02,1806.55,1849.44,1767.99,1848.36,3203412300,1848.36
2013-11-01,1758.70,1813.55,1746.20,1805.81,3261324500,1805.81
2013-10-01,1682.41,1775.22,1646.47,1756.54,3498866500,1756.54
2013-09-03,1635.95,1729.86,1633.41,1681.55,3474152000,1681.55
2013-08-01,1689.42,1709.67,1627.47,1632.97,3069868600,1632.97
2013-07-01,1609.78,1698.78,1604.57,1685.73,3270645900,1685.73
2013-06-03,1631.71,1654.19,1560.33,1606.28,3996199000,1606.28
2013-05-01,1597.55,1687.18,1581.28,1630.74,3661220400,1630.74
2013-04-01,1569.18,1597.57,1536.03,1597.57,3674685000,1597.57
2013-03-01,1514.68,1570.28,1501.48,1569.19,3591577500,1569.19
2013-02-01,1498.11,1530.94,1485.01,1514.68,3851884200,1514.68
2013-01-02,1426.19,1509.94,1426.19,1498.11,3802304200,1498.11
2012-12-03,1416.34,1448.00,1398.11,1426.19,3479625500,1426.19
2012-11-01,1412.20,1434.27,1343.35,1416.18,3593110000,1416.18
2012-10-01,1440.90,1470.96,1403.28,1412.16,3587115700,1412.16
2012-09-04,1406.54,1474.51,1396.56,1440.67,3857553100,1440.67
2012-08-01,1379.32,1426.68,1354.65,1406.58,3183567800,1406.58
2012-07-02,1362.33,1391.74,1325.41,1379.32,3663113300,1379.32
2012-06-01,1309.87,1363.46,1266.74,1362.16,4103472300,1362.16
2012-05-01,1397.86,1415.32,1291.98,1310.33,4158095900,1310.33
2012-04-02,1408.47,1422.38,1357.38,1397.91,3916786000,1397.91
2012-03-01,1365.90,1419.15,1340.03,1408.47,3980752200,1408.47
2012-02-01,1312.45,1378.04,1312.45,1365.68,4143404000,1365.68
2012-01-03,1258.86,1333.47,1258.86,1312.41,4190155500,1312.41
2011-12-01,1246.91,1269.37,1202.37,1257.60,3667346600,1257.60
2011-11-01,1251.00,1277.55,1158.66,1246.96,4289379000,1246.96
2011-10-03,1131.21,1292.66,1074.77,1253.30,4874946600,1253.30
2011-09-01,1219.12,1229.29,1114.22,1131.42,5104933800,1131.42
2011-08-01,1292.59,1307.38,1101.54,1218.89,4942913400,1218.89
2011-07-01,1320.64,1356.48,1282.86,1292.28,4308168000,1292.28
2011-06-01,1345.20,1345.20,1258.07,1320.64,4105601300,1320.64
2011-05-02,1365.21,1370.58,1311.80,1345.20,4114534200,1345.20
2011-04-01,1329.48,1364.56,1294.70,1363.61,4042194000,1363.61
2011-03-01,1328.64,1332.28,1249.05,1325.83,4046691700,1325.83
