School Number,District,School Code,Name,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT
1,TAPLEJUNG,1000,PRIVATE TAPLEJUNG,16.6,28.2,11.4,19.2,27.2,34.4,15,15,0,0,1,0,1,14,6.67
2,TAPLEJUNG,1001,BALSUBODHINI SAN MA VI MEDIBUNG PHUNGLIN,17.8,41.7,22.1,29.5,44.8,41.9,34,34,0,2,4,0,6,28,17.65
3,TAPLEJUNG,1002,BHANUJAN MA VI AMBITAR,24.9,39.6,16.6,23,42.7,31.7,101,100,0,3,12,0,15,85,15
4,TAPLEJUNG,1003,MOTI MA VI KHOKLING,20.6,34.3,10.9,15.3,35.6,31.6,27,27,0,0,2,0,2,25,7.41
5,TAPLEJUNG,1004,SINAM MA VI SINAM,24.1,46.1,25.7,29.8,36.3,44.8,64,64,0,3,15,0,18,46,28.13
6,TAPLEJUNG,1005,GANESH MA VI KHEWANG,20.6,36.8,18.8,18.2,40.7,33.2,45,45,0,1,4,0,5,40,11.11
7,TAPLEJUNG,1006,THECHAMBU MA VI THECHAMBU,24.6,42.8,27.4,41.3,51.7,46.7,15,15,0,0,6,0,6,9,40
8,TAPLEJUNG,1007,MAIWAKHOLA MA VI TEMBE,21.5,39.6,25.2,31,42.3,43.1,65,65,0,3,12,3,18,47,27.69
9,TAPLEJUNG,1008,PRITHVI MA VI KHAMLUNG,20.3,38,15.5,25.2,39.4,34.8,19,19,0,0,0,0,0,19,0
10,TAPLEJUNG,1009,BHANJYANG MA VI LIMBUDIN,21.1,41,18.6,29.3,39.5,33.8,43,43,0,0,5,0,5,38,11.63
11,TAPLEJUNG,1010,NARAYANI MA VI SANGHU,22.6,41,15.3,30.7,37.5,31.1,44,44,0,0,9,0,9,35,20.45
12,TAPLEJUNG,1011,DURGA MA VI PHULBARI,18.6,36.3,12.7,28.9,39.5,29.5,47,47,0,0,2,1,3,44,6.38
13,TAPLEJUNG,1012,SARASWATI MA VI HANGPANG,25.2,42.9,20.4,28.4,41.5,40.9,35,35,0,0,5,1,6,29,17.14
14,TAPLEJUNG,1013,JANATA MA VI HANGDEWA,23.8,43.8,23.9,30.4,47.1,40.6,19,19,0,1,4,0,5,14,26.32
15,TAPLEJUNG,1014,SARASWATI MA VI LELEP,15.3,29.7,13.1,11.8,32.2,25.7,39,39,0,0,2,0,2,37,5.13
16,TAPLEJUNG,1015,SARASWATI MA VI SIKAICHA,25.7,43.2,19.3,30.4,39,30.1,30,30,0,2,4,0,6,24,20
17,TAPLEJUNG,1016,SANWA MA VI SANWA MEWAKHOLA,15.2,33.4,6.1,19.6,33.5,30.4,21,21,0,0,0,0,0,21,0
18,TAPLEJUNG,1017,TELLOK MA VI TELLOK,26.8,49.6,34.8,33.3,48.8,41.3,16,16,0,3,5,0,8,8,50
19,TAPLEJUNG,1018,NILGIRI MA VI MEHELE,23.4,37.8,11.8,23.6,37.9,37.1,40,40,0,0,3,0,3,37,7.5
20,TAPLEJUNG,1019,KALIKA MA VI NANGKHOLYANG,20,46.2,24,27,44.5,44,24,24,0,0,4,0,4,20,16.67
21,TAPLEJUNG,1020,NAVA JYOTI AWASIYA MA VI PHUNGLING,28.8,40,23.8,32.7,42.6,37,49,49,0,1,17,0,18,31,36.73
22,TAPLEJUNG,1021,SINWA MA VI LINGSIM SINWA,13.1,28.8,11.6,20.3,34.6,29.5,39,39,0,0,2,0,2,37,5.13
23,TAPLEJUNG,1022,MAHENDRA MA VI PHAKUMVA MAIWAKHOLA,23.9,39.2,20.1,29.8,38.7,32.6,12,12,0,1,2,0,3,9,25
24,TAPLEJUNG,1023,CHAKSIBOTE MA VI CHAKSIBOTE,19.9,36.7,15,25.5,34.8,33.7,30,30,0,0,2,0,2,28,6.67
25,TAPLEJUNG,1024,CHANGE MA VI CHANGE,18.1,35.8,12.2,24.2,39.3,34.7,50,50,0,2,2,0,4,46,8
26,TAPLEJUNG,1025,KALIKA MA VI TIRINGA,25.5,48.1,34.2,30.7,48.4,37.2,13,13,0,0,6,0,6,7,46.15
27,TAPLEJUNG,1026,SHARADA MA VI THUMBEDIN,21.9,43.4,26.4,36.6,47,42.1,37,37,0,0,10,1,11,26,29.73
28,TAPLEJUNG,1027,AMBEGUDIN MA VI RAJA,22.3,45.2,19.6,29.3,40.4,30.2,28,28,0,0,6,0,6,22,21.43
29,TAPLEJUNG,1028,TRIBHUVAN MA VI MEWAKHOLA THUKIYA,18.3,35.1,22.4,15.6,36.3,28.6,60,60,0,0,4,1,5,55,8.33
30,TAPLEJUNG,1029,BIRENDRA MA VI PHUNGLING-1 DEVLING,23.6,38.4,17,23.8,37.5,31.1,47,47,0,1,8,1,10,37,21.28
31,TAPLEJUNG,1030,KANCHANJUNGHA BOARDING SCHOOL PHUNGLING,53.6,49.9,67.3,47.4,60.3,58.1,32,32,1,25,6,0,32,0,100
32,TAPLEJUNG,1031,PARAM SINGHA DEVI MA VI NIGURADIN,18.3,39.9,17.5,26.5,38.4,36.6,11,11,0,0,2,0,2,9,18.18
33,TAPLEJUNG,1032,MECHI ST. MARY'S ENGLISH BOARDING SCHOOL P,H 43.4,54,50.3,37.3,58.4,46.4,9,9,0,7,2,0,9,0,100
34,TAPLEJUNG,1033,SIDDHAKALI MA VI DOKHU-5,17.5,39.9,19.4,19.1,36.5,30.4,37,37,0,0,2,0,2,35,5.41
35,TAPLEJUNG,1034,MAYAM MA VI FURUMBU-5,16.3,26.8,7.3,25,29.8,29.2,24,24,0,0,0,0,0,24,0
36,PANCHTHAR,2000,PRIVATE PANCHTHAR,23.4,40.6,43.8,25.7,42.3,27.1,134,132,0,1,34,17,52,80,39.39
37,PANCHTHAR,2001,PHIDIM MA VI PHIDIM,23,42.4,30.3,26.4,39.9,37.1,105,105,0,2,32,1,35,70,33.33
38,PANCHTHAR,2002,AMARPUR MA VI DORAMBA AMARPUR,17.9,42.5,19.4,26.1,47.2,42.5,20,20,0,0,3,0,3,17,15
39,PANCHTHAR,2003,BISHNU MA VI CHYANGTHAPU,21.9,38.6,39.8,31.9,45.5,38.3,69,68,0,0,22,11,33,35,48.53
40,PANCHTHAR,2004,KHALANGATAR MA VI YANGNAM,8.8,32.7,16.5,17.7,37.8,24.9,119,116,0,0,1,0,1,115,0.86
41,PANCHTHAR,2005,SIDDHA DEVI MA VI NAWAMIDADA,15.8,34.9,16.7,25.5,35.5,41.5,51,51,0,0,1,0,1,50,1.96
42,PANCHTHAR,2006,SIDDHAKALI MA VI EAKTIN JORPATI,12.6,38.1,21,21.6,38.9,39.5,34,34,0,0,1,0,1,33,2.94
43,PANCHTHAR,2007,NAYA NAMUNA MA VI PHIDIM BAZAR,37.3,39.9,49.5,32.8,46,45.2,90,90,0,15,46,3,64,26,71.11
44,PANCHTHAR,2008,SIDDHA DEVI MA VI NANGIN PIPALBOTE,25.5,40.1,21.3,26.3,49.9,32.2,53,53,0,0,8,5,13,40,24.53
45,PANCHTHAR,2009,SIDDHESWORI MA VI BHARPA TUWA,10,34.3,22,22,42.7,33.3,66,66,0,0,2,0,2,64,3.03
46,PANCHTHAR,2010,GUPTESHWOR MA VI OYAM,20.1,35.9,38.1,30.6,40.2,36.5,39,39,0,0,7,5,12,27,30.77
47,PANCHTHAR,2011,JAY NARAYAN ADARSHA MA VI MEHELBOTE,17.4,38,19.5,21,32.8,35.8,52,52,0,0,3,0,3,49,5.77
48,PANCHTHAR,2012,DURGA MA VI RAVI,12.6,36.6,11.6,23.2,40.9,26.4,48,47,0,0,0,0,0,47,0
49,PANCHTHAR,2013,PRITHIVI MA VI YASOK,18.7,37.5,18.2,20.4,33.5,37,78,78,0,0,11,1,12,66,15.38
50,PANCHTHAR,2014,INDRANI MA VI MOUWA,12.3,40.2,17.2,21.4,40.3,33,110,108,0,0,5,0,5,103,4.63
51,PANCHTHAR,2015,NILGIRI MA VI SUBHANG,15.7,37.1,28.5,26.8,45.5,36.8,42,42,0,1,5,0,6,36,14.29
52,PANCHTHAR,2016,RANITAR MA VI RANITAR,20,43.1,34.4,22.5,37.5,35.5,66,66,0,5,9,3,17,49,25.76
53,PANCHTHAR,2017,SARASWATI MA VI MACHHEBUNG,18.1,35.4,36.8,31.8,43.6,41.6,29,29,0,0,6,0,6,23,20.69
54,PANCHTHAR,2018,THARPU MA VI THARPU,14.7,36.6,15.1,27.1,45.1,45.9,84,84,0,3,4,0,7,77,8.33
55,PANCHTHAR,2019,SIRIJUNG MA VI GOPETAR,13.6,35.3,29.5,24.8,44.5,38.4,50,50,0,1,6,0,7,43,14
56,PANCHTHAR,2020,DURGA MA VI SARANGDANDA,12.3,42.9,15.5,24.3,44.6,28.4,22,22,0,0,0,0,0,22,0
57,PANCHTHAR,2021,SARASWATI MA VI CHOKMAGU,20.7,34.7,18.6,21,48.1,26.1,46,46,0,0,3,2,5,41,10.87
58,PANCHTHAR,2022,SARATAP MA VI PAUWA,26,32.5,31.1,24.8,43.3,37.5,46,46,0,0,8,3,11,35,23.91
59,PANCHTHAR,2023,KALIKA MA VI PRANGBUNG,14.6,36.2,17.3,22.4,42.7,37.9,47,47,0,0,1,0,1,46,2.13
60,PANCHTHAR,2024,JANA KALYAN MA VI KOLBUNG PHAKTEP,16,31.5,18.2,20.1,29.8,33.3,23,23,0,0,2,0,2,21,8.7
61,PANCHTHAR,2025,MECHI ENGLISH SCHOOL PHIDIM 4,53.5,44.4,59.2,42.5,58,52.5,42,42,0,27,15,0,42,0,100
62,PANCHTHAR,2026,ARUBOTE MA VI ARUBOTE,17.5,35.5,12.9,21.9,39.9,20.7,67,66,0,0,2,0,2,64,3.03
63,PANCHTHAR,2027,MAHENDRODAYA MA VI PIPALBOTE,25.2,38.3,20.9,19.9,44.1,24.5,31,31,0,0,7,0,7,24,22.58
64,PANCHTHAR,2028,SINGHA SIDDHA MA VI ANSHUBHANJYANG LUWAPH,17.2,38.1,34,26.3,43.7,31.2,29,29,0,0,8,2,10,19,34.48
65,PANCHTHAR,2029,GANESH MA VI NAGI CHITTOK,12.5,32.3,13.7,22.4,42.5,39.3,60,60,0,0,1,0,1,59,1.67
66,PANCHTHAR,2030,KURUMBA MA VI KURUMBA,20.8,54.1,28.9,26.5,46.6,36.2,13,13,0,0,2,0,2,11,15.38
67,PANCHTHAR,2031,GHURBISE PANCHAMI MA VI PHAKTEP,21.9,34,15.9,17.7,39.8,18.8,92,92,0,0,8,3,11,81,11.96
68,PANCHTHAR,2032,MAHADEV GUPTESHWOR MA VI PHULPA LUNGRUP,14.8,33.8,16.3,24.2,34.6,35.6,45,45,0,0,1,0,1,44,2.22
69,PANCHTHAR,2033,SIDDHA SARASWATI MA VI BARBHANJYANG MANGJ,28.5,37.8,28.9,25.5,44.4,28.4,8,8,0,0,2,3,5,3,62.5
70,PANCHTHAR,2034,CHANDRESHWAR MA VI KHANDRONG,19,43.2,24.7,25.2,44,32,23,23,0,0,5,0,5,18,21.74
71,PANCHTHAR,2035,VIDYA BARDAN ENGLISH BOARDING SCHOOL PHIDI,37.2,41.2,50.6,36.8,47.3,49.3,33,33,0,13,14,0,27,6,81.82
72,PANCHTHAR,2037,ITHUNG MA VI RANITAR,18.8,35,19.6,23,42.5,25.6,53,53,0,0,3,3,6,47,11.32
73,PANCHTHAR,2038,KALIKA SECONDARY SCHOOL BABUNGA NAGIN,23.6,40.6,21.5,24.7,48.1,28.2,41,41,0,0,4,2,6,35,14.63
74,PANCHTHAR,2040,SIDDHA MA VI PANCHAMI,11.1,37.9,27.2,23.9,42.7,34,42,42,0,0,1,1,2,40,4.76
75,PANCHTHAR,2041,INDRAWATI MA VI HANGUM,15.4,36.8,15.7,18.4,34.6,29.1,29,29,0,0,0,0,0,29,0
76,PANCHTHAR,2042,SIDDHA DEVI MA VI SIDIN,17.7,39.3,26.6,20.8,42,41,56,56,0,0,6,0,6,50,10.71
