COUNTY,GORE,BUSH,BUCHANAN,NADER,NELSON
ALACHUA,47300,34062,262,3215,49005
BAKER,2392,5610,73,53,3104
BAY,18850,38637,248,828,22914
BRADFORD,3072,5413,65,84,4118
BREVARD,97318,115185,570,4470,112255
BROWARD,386518,177279,789,7099,377081
CALHOUN,2155,2873,90,39,2809
CHARLOTTE,29641,35419,182,1461,28947
CITRUS,25501,29744,270,1378,27566
CLAY,14630,41745,186,562,16094
COLLIER,29905,60426,122,1400,28207
COLUMBIA,7047,10964,89,258,8942
DADE,328702,289456,561,5355,304878
DE SOTO,3322,4256,36,157,3593
DIXIE,1826,2697,29,75,2450
DUVAL,107680,152082,650,2752,121805
ESCAMBIA,40958,73029,504,1729,45907
FLAGLER,13891,12608,83,435,13980
FRANKLIN,2046,2454,33,85,2498
GADSDEN,9565,4750,39,139,10838
GILCHRIST,1910,3300,29,97,2558
GLADES,1441,1840,9,56,1649
GULF,2389,3546,71,86,3393
HAMILTON,1722,2146,23,37,2172
HARDEE,2341,3764,30,75,2972
HENDRY,3239,4743,22,103,3760
HERNANDO,32644,30646,242,1501,32916
HIGHLANDS,14167,20206,127,545,11630
HILLSBOROUGH,169529,180713,845,7486,176667
HOLMES,2154,4985,76,91,3201
INDIAN RIVER,19768,28635,105,950,21050
JACKSON,6868,9138,102,138,8648
JEFFERSON,3041,2478,29,76,3513
LAFAYETTE,788,1669,10,26,1299
LAKE,36555,49963,289,1459,40726
LEE,73560,106141,305,3587,69308
LEON,61425,39053,282,1932,61728
LEVY,5403,6860,67,284,6654
LIBERTY,1011,1316,39,19,1375
MADISON,3011,3038,29,54,3528
MANATEE,49169,57948,272,2489,51400
MARION,44665,55141,563,1809,48947
MARTIN,26619,33864,108,1075,21826
MONROE,16483,16059,47,1090,16588
NASSAU,6952,16404,90,255,8489
OKALOOSA,16924,52043,267,984,18667
OKEECHOBEE,4588,5058,43,131,5320
ORANGE,140115,134476,446,3881,140897
OSCEOLA,28181,26212,145,732,29722
PALM BEACH,268945,152846,3407,5564,269835
PASCO,69564,68582,570,3392,73338
PINELLAS,200212,184884,1010,9986,207974
POLK,74977,90101,538,2060,81159
PUTNAM,12091,13439,147,379,13124
SANTA ROSA,12795,36248,311,723,14504
SARASOTA,72854,83100,305,4066,71434
SEMINOLE,58888,75293,194,1940,63037
ST JOHNS,19482,39497,229,1214,20558
ST LUCIE,41559,34705,124,1368,41082
SUMTER,9634,12126,114,307,10271
SUWANNEE,4084,8014,108,182,5544
TAYLOR,2647,4051,27,59,3431
UNION,1407,2332,29,32,1560
VOLUSIA,97063,82214,396,2436,99135
WAKULLA,3835,4511,46,149,4496
WALTON,5637,12176,120,265,6842
WASHINGTON,2796,4983,88,93,4065
